RMSD_active,RMSD_inactive
1.617630958557128906e+00,1.516050815582275391e+00
1.639101505279541016e+00,1.531745791435241699e+00
1.628529787063598633e+00,1.519264459609985352e+00
1.645102262496948242e+00,1.524234652519226074e+00
1.613118410110473633e+00,1.497363448143005371e+00
1.613793849945068359e+00,1.512862443923950195e+00
1.579953670501708984e+00,1.485281944274902344e+00
1.645193934440612793e+00,1.543971180915832520e+00
1.630133628845214844e+00,1.529973506927490234e+00
1.626238107681274414e+00,1.511614799499511719e+00
1.637352943420410156e+00,1.528803586959838867e+00
1.637825489044189453e+00,1.515599370002746582e+00
1.632211804389953613e+00,1.517180919647216797e+00
1.639701008796691895e+00,1.511542677879333496e+00
1.631317138671875000e+00,1.519580364227294922e+00
1.633251786231994629e+00,1.510931968688964844e+00
1.626342654228210449e+00,1.519840836524963379e+00
1.693341374397277832e+00,1.578490853309631348e+00
1.639434576034545898e+00,1.533023238182067871e+00
1.655706167221069336e+00,1.527209162712097168e+00
1.632345676422119141e+00,1.511754512786865234e+00
1.612383604049682617e+00,1.505847454071044922e+00
1.642832040786743164e+00,1.523960471153259277e+00
1.644756078720092773e+00,1.528131723403930664e+00
1.596184372901916504e+00,1.506710648536682129e+00
1.651755928993225098e+00,1.507220745086669922e+00
1.652464985847473145e+00,1.536629080772399902e+00
1.626610994338989258e+00,1.511107921600341797e+00
1.644794583320617676e+00,1.531883716583251953e+00
1.635038733482360840e+00,1.525224566459655762e+00
1.622993588447570801e+00,1.509955167770385742e+00
1.642555117607116699e+00,1.516258955001831055e+00
1.599221706390380859e+00,1.484760880470275879e+00
1.611451268196105957e+00,1.511559247970581055e+00
1.647409200668334961e+00,1.518488407135009766e+00
1.627256155014038086e+00,1.518558502197265625e+00
1.633538246154785156e+00,1.525155544281005859e+00
1.638850331306457520e+00,1.528092384338378906e+00
1.642727613449096680e+00,1.528012514114379883e+00
1.634948968887329102e+00,1.533626317977905273e+00
1.662913084030151367e+00,1.528894186019897461e+00
1.647039651870727539e+00,1.526425480842590332e+00
1.640055060386657715e+00,1.507859587669372559e+00
1.640576004981994629e+00,1.522379636764526367e+00
1.640123248100280762e+00,1.529186606407165527e+00
1.645783066749572754e+00,1.533391475677490234e+00
1.644132614135742188e+00,1.509644627571105957e+00
1.624748826026916504e+00,1.505210518836975098e+00
1.658179879188537598e+00,1.522378802299499512e+00
1.605460524559020996e+00,1.491425991058349609e+00
1.653267979621887207e+00,1.522595047950744629e+00
1.641445755958557129e+00,1.525924682617187500e+00
1.637195467948913574e+00,1.514610290527343750e+00
1.642472386360168457e+00,1.527270197868347168e+00
1.650077581405639648e+00,1.539045691490173340e+00
1.634107470512390137e+00,1.519027590751647949e+00
1.632275104522705078e+00,1.524842143058776855e+00
1.633656024932861328e+00,1.512316346168518066e+00
1.614336490631103516e+00,1.503494262695312500e+00
1.627906560897827148e+00,1.515388488769531250e+00
1.622462034225463867e+00,1.515308022499084473e+00
1.653799891471862793e+00,1.542598009109497070e+00
1.583806633949279785e+00,1.463175773620605469e+00
1.621304988861083984e+00,1.501372933387756348e+00
1.594527125358581543e+00,1.510229349136352539e+00
1.619959115982055664e+00,1.503766894340515137e+00
1.602820277214050293e+00,1.519380092620849609e+00
1.627458810806274414e+00,1.517064332962036133e+00
1.636836171150207520e+00,1.536921381950378418e+00
1.629078388214111328e+00,1.513297557830810547e+00
1.610583066940307617e+00,1.510236740112304688e+00
1.654239892959594727e+00,1.538863301277160645e+00
1.629976153373718262e+00,1.513641953468322754e+00
1.637246370315551758e+00,1.525502920150756836e+00
1.650889873504638672e+00,1.526344895362854004e+00
1.635751605033874512e+00,1.518998742103576660e+00
1.629717230796813965e+00,1.514064788818359375e+00
1.648397922515869141e+00,1.528942823410034180e+00
1.623586893081665039e+00,1.512205839157104492e+00
1.624984264373779297e+00,1.495533704757690430e+00
1.648720145225524902e+00,1.529988646507263184e+00
1.645321965217590332e+00,1.524699807167053223e+00
1.635008692741394043e+00,1.525651931762695312e+00
1.643763303756713867e+00,1.529601573944091797e+00
1.607164502143859863e+00,1.499884843826293945e+00
1.633174538612365723e+00,1.513493299484252930e+00
1.672668337821960449e+00,1.547533035278320312e+00
1.630078911781311035e+00,1.510618805885314941e+00
1.630136489868164062e+00,1.531679272651672363e+00
1.624716043472290039e+00,1.519425392150878906e+00
1.643785119056701660e+00,1.522566676139831543e+00
1.650130033493041992e+00,1.522928118705749512e+00
1.658215761184692383e+00,1.542971849441528320e+00
1.645339846611022949e+00,1.520795702934265137e+00
1.626603126525878906e+00,1.511801600456237793e+00
1.613788127899169922e+00,1.503492712974548340e+00
1.626063704490661621e+00,1.511684298515319824e+00
1.593667268753051758e+00,1.504139542579650879e+00
1.668052077293395996e+00,1.551350116729736328e+00
1.623468160629272461e+00,1.519167900085449219e+00
1.616196274757385254e+00,1.510806322097778320e+00
1.631172537803649902e+00,1.525603294372558594e+00
1.622532606124877930e+00,1.514163494110107422e+00
1.657009482383728027e+00,1.534921050071716309e+00
1.611789584159851074e+00,1.511642694473266602e+00
1.641583800315856934e+00,1.521084785461425781e+00
1.645576000213623047e+00,1.519044637680053711e+00
1.646550059318542480e+00,1.529547572135925293e+00
1.624404072761535645e+00,1.514745950698852539e+00
1.670804858207702637e+00,1.534496545791625977e+00
1.636124372482299805e+00,1.521144628524780273e+00
1.635005235671997070e+00,1.523614048957824707e+00
1.655688166618347168e+00,1.521086454391479492e+00
1.633200168609619141e+00,1.514371275901794434e+00
1.622318267822265625e+00,1.511525273323059082e+00
1.626768708229064941e+00,1.513619899749755859e+00
1.650098919868469238e+00,1.515423893928527832e+00
1.661098957061767578e+00,1.536477208137512207e+00
1.654074430465698242e+00,1.540764331817626953e+00
1.637785196304321289e+00,1.529002904891967773e+00
1.633997440338134766e+00,1.516261339187622070e+00
1.625868916511535645e+00,1.508812785148620605e+00
1.606593370437622070e+00,1.508016109466552734e+00
1.672727823257446289e+00,1.515811681747436523e+00
1.608611464500427246e+00,1.504492759704589844e+00
1.670583009719848633e+00,1.545979619026184082e+00
1.623573660850524902e+00,1.522762656211853027e+00
1.636090159416198730e+00,1.517598867416381836e+00
1.630817890167236328e+00,1.510555505752563477e+00
1.645495176315307617e+00,1.525856614112854004e+00
1.629275321960449219e+00,1.523441553115844727e+00
1.632134437561035156e+00,1.513667702674865723e+00
1.657259821891784668e+00,1.531221985816955566e+00
1.644952535629272461e+00,1.527952909469604492e+00
1.644795536994934082e+00,1.526275753974914551e+00
1.634583353996276855e+00,1.518370389938354492e+00
1.639525413513183594e+00,1.536229729652404785e+00
1.638734459877014160e+00,1.520874857902526855e+00
1.663210630416870117e+00,1.532237887382507324e+00
1.634895086288452148e+00,1.526392102241516113e+00
1.635989904403686523e+00,1.518072843551635742e+00
1.628402113914489746e+00,1.510808110237121582e+00
1.647516489028930664e+00,1.523747682571411133e+00
1.623378872871398926e+00,1.506707191467285156e+00
1.664442181587219238e+00,1.534832119941711426e+00
1.618927955627441406e+00,1.505716443061828613e+00
1.649220347404479980e+00,1.519334673881530762e+00
1.628203630447387695e+00,1.500021934509277344e+00
1.652585506439208984e+00,1.540925979614257812e+00
1.609015583992004395e+00,1.498995661735534668e+00
1.629810214042663574e+00,1.517733216285705566e+00
1.627381443977355957e+00,1.519707441329956055e+00
1.656169891357421875e+00,1.568488001823425293e+00
1.619382262229919434e+00,1.521652102470397949e+00
1.645352721214294434e+00,1.538153648376464844e+00
1.633176445960998535e+00,1.522769212722778320e+00
1.645874142646789551e+00,1.535856366157531738e+00
1.621390700340270996e+00,1.526246666908264160e+00
1.654453277587890625e+00,1.526095271110534668e+00
1.648937821388244629e+00,1.511889338493347168e+00
1.609734773635864258e+00,1.506990075111389160e+00
1.660663962364196777e+00,1.537094116210937500e+00
1.636009216308593750e+00,1.522351861000061035e+00
1.685572624206542969e+00,1.572105526924133301e+00
1.633809447288513184e+00,1.519800424575805664e+00
1.632853984832763672e+00,1.521762371063232422e+00
1.651032686233520508e+00,1.523402690887451172e+00
1.659169673919677734e+00,1.534974575042724609e+00
1.625952601432800293e+00,1.531069159507751465e+00
1.607507705688476562e+00,1.511820793151855469e+00
1.634417295455932617e+00,1.526720523834228516e+00
1.651765108108520508e+00,1.535092115402221680e+00
1.653562307357788086e+00,1.530005455017089844e+00
1.655786633491516113e+00,1.543002724647521973e+00
1.616992235183715820e+00,1.496197462081909180e+00
1.646098375320434570e+00,1.530657887458801270e+00
1.621103763580322266e+00,1.514267444610595703e+00
1.620318412780761719e+00,1.499123454093933105e+00
1.640434861183166504e+00,1.523309588432312012e+00
1.648119330406188965e+00,1.535339236259460449e+00
1.624754428863525391e+00,1.527488589286804199e+00
1.632160544395446777e+00,1.518174052238464355e+00
1.656229615211486816e+00,1.532459497451782227e+00
1.646592855453491211e+00,1.531318426132202148e+00
1.642690777778625488e+00,1.530147910118103027e+00
1.612009882926940918e+00,1.505347967147827148e+00
1.641395926475524902e+00,1.522307634353637695e+00
1.647851467132568359e+00,1.514574050903320312e+00
1.641996145248413086e+00,1.530257821083068848e+00
1.636561751365661621e+00,1.526068091392517090e+00
1.612134933471679688e+00,1.509204387664794922e+00
1.619952559471130371e+00,1.507971048355102539e+00
1.660897970199584961e+00,1.528031110763549805e+00
1.631116032600402832e+00,1.508205652236938477e+00
1.634097933769226074e+00,1.510671138763427734e+00
1.638850808143615723e+00,1.534839391708374023e+00
1.618445396423339844e+00,1.506841897964477539e+00
1.644758939743041992e+00,1.522137165069580078e+00
1.634608149528503418e+00,1.527538657188415527e+00
1.615928530693054199e+00,1.508003473281860352e+00
1.624918460845947266e+00,1.503489136695861816e+00
1.650950074195861816e+00,1.530670642852783203e+00
1.625817537307739258e+00,1.515864729881286621e+00
1.626822829246520996e+00,1.484694957733154297e+00
1.637115478515625000e+00,1.513028383255004883e+00
1.614669442176818848e+00,1.508371233940124512e+00
1.624966740608215332e+00,1.508424162864685059e+00
1.573061347007751465e+00,1.492365956306457520e+00
1.620777845382690430e+00,1.509082674980163574e+00
1.629805445671081543e+00,1.508323192596435547e+00
1.610635042190551758e+00,1.493889093399047852e+00
1.645800709724426270e+00,1.542405366897583008e+00
1.652559757232666016e+00,1.533086061477661133e+00
1.631978392601013184e+00,1.524146437644958496e+00
1.643624424934387207e+00,1.523501634597778320e+00
1.664150953292846680e+00,1.522503972053527832e+00
1.633098483085632324e+00,1.510425686836242676e+00
1.613925337791442871e+00,1.511126518249511719e+00
1.631968498229980469e+00,1.530991315841674805e+00
1.634407997131347656e+00,1.518022418022155762e+00
1.631707549095153809e+00,1.525814890861511230e+00
1.616923570632934570e+00,1.500612616539001465e+00
1.637135624885559082e+00,1.533900380134582520e+00
1.665692687034606934e+00,1.525583148002624512e+00
1.604988813400268555e+00,1.509270429611206055e+00
1.630358576774597168e+00,1.511220574378967285e+00
1.649873375892639160e+00,1.537580847740173340e+00
1.649322509765625000e+00,1.521225571632385254e+00
1.646357655525207520e+00,1.523202300071716309e+00
1.643085479736328125e+00,1.523743391036987305e+00
1.626415610313415527e+00,1.519118666648864746e+00
1.619284749031066895e+00,1.509311199188232422e+00
1.659296154975891113e+00,1.539681553840637207e+00
1.642684698104858398e+00,1.522189021110534668e+00
1.639582514762878418e+00,1.515858411788940430e+00
1.636505007743835449e+00,1.518297433853149414e+00
1.610784053802490234e+00,1.507611989974975586e+00
1.641870141029357910e+00,1.513101339340209961e+00
1.616460561752319336e+00,1.491514325141906738e+00
1.658009409904479980e+00,1.530385971069335938e+00
1.619039297103881836e+00,1.507177233695983887e+00
1.634768009185791016e+00,1.526924610137939453e+00
1.630830526351928711e+00,1.501897692680358887e+00
1.642507672309875488e+00,1.518686413764953613e+00
1.649364113807678223e+00,1.531098842620849609e+00
1.634136676788330078e+00,1.526257038116455078e+00
1.618153929710388184e+00,1.484930276870727539e+00
1.622768521308898926e+00,1.502223968505859375e+00
1.607559084892272949e+00,1.485613822937011719e+00
1.633027553558349609e+00,1.523085355758666992e+00
1.615854382514953613e+00,1.507788300514221191e+00
1.623362541198730469e+00,1.514155268669128418e+00
1.627297639846801758e+00,1.507273554801940918e+00
1.642716050148010254e+00,1.529456734657287598e+00
1.631941318511962891e+00,1.512526154518127441e+00
1.607257723808288574e+00,1.498397231101989746e+00
1.646532654762268066e+00,1.540791988372802734e+00
1.630998015403747559e+00,1.525824427604675293e+00
1.634661316871643066e+00,1.514933586120605469e+00
1.649917840957641602e+00,1.533726334571838379e+00
1.631955265998840332e+00,1.518100619316101074e+00
1.627757072448730469e+00,1.514186263084411621e+00
1.656352162361145020e+00,1.529224634170532227e+00
1.640265345573425293e+00,1.510316371917724609e+00
